Brand,Model,Fault Code,Fault Description,Probable Cause,Solution,solution 2,solution 3,solutio 4,solution 4
Weichai,All Models,190-15,Engine overspeed,The engine speed exceeds 120% of nominal speed (e.g.,1800 RPM for 60 Hz),,,,
Weichai,All Models,191-18,Engine underspeed,The engine speed is below the nominal threshold,affecting output frequency.,,,,
Weichai,All Models,428-3,Water in fuel sensor high voltage,The water-in-fuel sensor circuit voltage is above normal or shorted to high voltage.,Test water-in-fuel sensor with multimeter for proper resistance; replace if defective. Inspect sensor wiring for shorts to power or damage. Verify fuel filter condition. Reset fault via ECU diagnostic tool and restart.,,,,
Weichai,All Models,429-4,Water in fuel sensor low voltage,The water-in-fuel sensor circuit voltage is below normal or shorted to low voltage.,Test water-in-fuel sensor with multimeter for proper resistance; replace if defective. Inspect sensor wiring for shorts to ground or opens. Verify fuel filter condition. Reset fault via ECU diagnostic tool and restart.,,,,
Weichai,All Models,651-3,Injector 1 circuit fault,The injector 1 circuit is malfunctioning,affecting fuel delivery.,,,,
Weichai,All Models,652-3,Injector 2 circuit fault,The injector 2 circuit is malfunctioning,affecting fuel delivery.,,,,
Weichai,All Models,653-3,Injector 3 circuit fault,The injector 3 circuit is malfunctioning,affecting fuel delivery.,,,,
Weichai,All Models,654-3,Injector 4 circuit fault,The injector 4 circuit is malfunctioning,affecting fuel delivery.,,,,
Weichai,All Models,1103-3,Intake air temperature sensor high voltage,The intake air temperature sensor circuit voltage is above normal or shorted to high voltage.,Test intake air temperature sensor with multimeter for proper resistance; replace if defective. Inspect sensor wiring for shorts to power or damage. Verify air intake system condition. Reset fault via ECU diagnostic tool and restart.,,,,
Perkins,All Models,1104-4,Intake air temperature sensor low voltage,The intake air temperature sensor circuit voltage is below normal or shorted to low voltage.,Test intake air temperature sensor with multimeter for proper resistance; replace if defective. Inspect sensor wiring for shorts to ground or opens. Verify air intake system condition. Reset fault via ECU diagnostic tool and restart.,,,,
Perkins,All Models,5246-0,SCR operator inducement severity,Indicates issues with the selective catalytic reduction (SCR) system,such as low DEF level or quality.,,,,
Perkins,Evolution Series,1100,The controller is telling the engine to start,but it cannot start for some reason. The controller has verified that the engine is cranking,but not starting,,,,
Perkins,Evolution Series,1101,The controller has limited the number of starts at 10 to prevent damage to the starter,indicating fuel or maintenance related issues.,Check fuel and maintenance related items. Valves are normally a culprit of overcrank alarms.,,,,
Perkins,Evolution Series,1200,Prolonged overspeed,where the frequency (engine speed) was 72Hz or above on a 60Hz unit or 60Hz or above on a 50Hz unit for 3 seconds,most likely due to a stepper motor or mixer assembly issue.,,,,
Perkins,Evolution Series,1205,Instantaneous overspeed,where the frequency (engine speed) was 75Hz or above on a 60Hz generator,or 62Hz or above on a 50Hz model,,,,
Perkins,Evolution Series,1207,An uncommon overspeed alarm that monitors the zero cross timing of the voltage regulator (AVR) to determine the alternator frequency,set for 150 Milliseconds of 4500 RPM or higher,used if normal ignition pulses are not seen by the controller from the 18 wire.,,,,
Perkins,Evolution Series,1300,Normal shutdown alarm for low oil or low oil pressure,which may be caused by low oil level,a faulty low oil pressure switch,,,,
Perkins,Evolution Series,1400,The high engine temperature switch has closed and shut the unit down for exceeding the engine temperature high limit,possibly due to debris blocking vents restricting airflow.,Check for debris blocking the vents that might be restricting airflow. If nothing is found, check the high temp switch and its wiring.,,,
Perkins,Evolution Series,1501,RPM alarm set when a 2 cylinder unit was already running and stalled or lost the RPM signal from the ignition coils,possibly due to fuel issues,empty LP tank,,,,
Perkins,Evolution Series,1505,RPM alarm set when a 2 cylinder unit is cranking,caused when the controller told the engine to crank but did not get a signal back that the engine was actually turning,possibly due to a dead or bad battery,,,,
Perkins,Evolution Series,1511,RPM alarm set when a single (1) cylinder unit was already running and stalled or lost the RPM signal from the ignition coils,possibly due to fuel issues,empty LP tank,,,,
Perkins,Various,1100,Low battery voltage. Battery voltage drops below acceptable levels.,Check battery voltage and condition,spark plug,,,,
Perkins,Various,1101,Battery charger fault. The battery charger is not functioning properly.,Check battery charger operation,especially when air conditioners and battery chargers are running.,,,,
Perkins,Various,1200,Low oil pressure. Engine oil pressure drops below safe operating levels.,Check oil level and add oil if necessary,especially when air conditioners and battery chargers are running.,,,,
Perkins,Various,1205,Instantaneous overspeed. Frequency (Hz) is over set threshold.,Inspect and repair stepper motor or mixer assembly; check engine speed and rectify if necessary,especially when air conditioners and battery chargers are running.,,,,
Perkins,Various,1207,Backup overspeed alarm. Monitors the zero cross timing of the automatic voltage regulator (AVR).,Inspect and repair the AVR and associated circuits; check alternator frequency and correct issues,wiring diagrams,,,,
Perkins,Various,1210,Overcrank. Engine fails to start after several attempts.,Check fuel supply,Measure resistance (180–2500 ohms depending on engine temperature,,,,
Perkins,Various,1300,Overvoltage / Low Oil Pressure. Faulty voltage regulation or voltage sensing circuit / Low oil or oil pressure issue.,Contact service for voltage issues / Check oil level and pressure,Measure continuity (zero ohms expected,,,,
Perkins,Various,1400,High engine temperature.,Check cooling system and ensure proper airflow,Measure resistance (1.6 kohms,,,,
Generac,Various,1500,Overspeed. Engine speed exceeds safe operating limits.,Contact service for speed control issues,or Incorrect,,,,
Generac,2 Cylinder Units,1501,RPM Sensor Loss for a 2 cylinder unit already running.,Check fuel, ignition coils, and engine load,or Period,,
Generac,2 Cylinder Units,1505,RPM Sensor Loss for a 2 cylinder unit cranking.,Check battery, starter, wiring, and ignition coils,or Incorrect,
Generac,Single Cylinder Units,1511,RPM Sensor Loss for a single cylinder unit already running.,Check fuel, ignition coil, and engine load,or Incorrect,,
Generac,Single Cylinder Units,1515,RPM Sensor Loss for a single cylinder unit cranking.,Check battery, starter, wiring, and ignition coil,or Period,
Generac,Various,1600,Internal fault / Underspeed. Internal component failure or wiring issues / Overloaded or throttle control problem.,Contact service for internal faults / Check load and throttle control,or Incorrect,,,,
Generac,Various,1603,Engine never reached rated 3600 RPM speed during startup.,Check stepper motor, fuel system, and fuel selector; check engine RPM and correct issues,or Period,,
Generac,Various,1610,Overcurrent. Generator output current exceeds safe operating levels.,Reduce load and check electrical connections,Check oil level and pressure. Inspect sensor and wiring. Adjust setpoints if necessary.,,,,
Generac,Various,1620,Underfrequency. Generator output frequency drops below acceptable levels.,Contact service for frequency control issues,Check coolant temperature. Inspect sensor and wiring. Ensure temperature is above setpoint.,,,,
Generac,Various,1630,Over frequency. Generator output frequency exceeds acceptable levels.,Contact service for frequency control issues,Check the cabling for a short circuit/cable break; repair/replace cables if necessary. Check the particular component for damage or the need of maintenance; repair/replace it if necessary. Reset the ECU by switching ignition off, waiting until the ECU has shut off and switching ignition on again. Check if the error is still active.,,,
Generac,Various,1710,Overload. Generator output load exceeds safe operating levels.,Reduce load and check sensing circuit,Check the cabling for a short circuit/cable break; repair/replace cables if necessary. Check the particular component for damage or the need of maintenance; repair/replace it if necessary. Reset the ECU by switching ignition off, waiting until the ECU has shut off and switching ignition on again. Check if the error is still active.,,,
Generac,Various,1800,Overvoltage for a prolonged period.,Check voltage regulator and wiring for issues,Check wiring and connections. Inspect hand throttle sensor. Reset ECU and test.,,,,
Generac,5500,2,Low oil pressure fault (Low oil pressure cutoff switch did not open).,Check engine oil level and add oil as necessary. Drain excess oil (above dipstick Full mark).,Check wiring and connections. Inspect hand throttle sensor. Reset ECU and test.,,,,
Generac,5500,3,Service check fault (Indicates fault with second-level fault code).,Check the second-level fault code by pressing STOP once. The second-level fault code will have two-digits. The faults are listed in numerical order in this table.,Check actuator wiring and connections. Inspect EGR or throttle valve. Reset ECU and test.,,,,
Generac,5500,4,Overcrank fault (Cranking exceeded 30 seconds without engine starting).,Gasoline Models – Check and fill the fuel tank, as necessary. (Note: The genset fuel pickup tube is probably higher up in the fuel tank than the vehicle engine pickup.) Prime the engine fuel system by holding the control switch at Stop/Prime for 30 seconds. Low Pressure LPG Models – Check and fill the LPG container, as necessary. On cold days the LPG container may have to be kept at least half full to provide the rate of vaporization necessary to keep up with the genset fuel demand. High Pressure LPG Models – Check and fill the LPG container, as necessary, and drain the genset LPG system of oil that may have migrated from the supply system. Make sure to re-close the drain valve. Open any closed fuel valves. Secure the spark plug leads on the spark plugs. Replace the spark plugs. Service the air cleaner.,Check actuator wiring and connections. Inspect EGR or throttle valve. Reset ECU and test.
Generac,5500,12,Overvoltage fault (Controller unable to maintain rated voltage).,See an authorized Onan dealer.,Check actuator wiring and connections. Inspect EGR or throttle valve. Reset ECU and test.,,,,
Generac,5500,13,Undervoltage fault (Controller unable to maintain rated voltage).,Reduce the number of connected appliances,Check actuator wiring and connections. Inspect EGR or throttle valve. Reset ECU and test.,,,,
Generac,5500,14,Overfrequency fault (Engine governor unable to maintain rated frequency).,See an authorized Onan dealer.,Check actuator wiring and connections. Inspect EGR or throttle valve. Reset ECU and test.,,,,
Generac,5500,15,Underfrequency fault (Engine governor unable to maintain rated frequency).,Reduce the number of connected appliances, especially when air conditioners and battery chargers are running. High Pressure LPG Models – Drain the genset LPG system of oil that may have migrated from the supply system. Make sure to re-close the drain valve.,Check actuator wiring and connections. Inspect EGR or throttle valve. Reset ECU and test.,,,
Generac,5500,19,Governor actuator fault (Controller sensed open or shorted circuit).,See an authorized Onan dealer.,Check actuator wiring and connections. Inspect EGR or throttle valve. Reset ECU and test.,,,,
Generac,5500,22,Governor actuator overload fault (Duration of operation at or near full-duty cycle beyond design limit).,Reduce the number of connected appliances, especially when air conditioners and battery chargers are running. Service the air cleaner. Check for and repair a blocked exhaust system.,replace ECU. Contact Deutz service.,,,
Generac,5500,23,Low oil pressure cutoff switch fault (Controller sensed switch still open during start—not a running fault).,See an authorized Onan dealer.,reprogram or replace ECU. Contact Deutz service.,,,,
Generac,5500,27,Voltage sense fault (Controller unable to sense output voltage).,See an authorized Onan dealer.,spark plug,,,,
Generac,5500,29,High battery voltage fault (Voltage across battery system greater than 19 volts).,Check battery bank connections and reconnect if necessary so that the 12 volt batteries serving the genset are connected in parallel (12 volt) rather than in series (24 volt). Select a lower battery boost charge rate.,spark plug,,,,
Generac,5500,31,Overspeed fault (Engine speed greater than 3400 rpm).,See an authorized Onan dealer.,spark plug,,,,
Generac,Various,3,Service Check Fault (First-level fault code—Indicates fault with second-level fault code).,Check the second-level fault code by pressing STOP once. The second-level fault code will have two digits. The faults are listed in numerical order in the table.,spark plug,,,,
Generac,Various,4,Overcrank Fault (First-level fault code—Cranking exceeded 20 seconds without engine starting).,Gasoline Models - Check and fill the fuel tank, as necessary. (Note: The genset fuel pickup tube is probably higher up in the fuel tank than the vehicle engine pickup.) Prime the engine fuel system by holding the control switch at Stop/Prime for 30 seconds. LPG Models - Check and fill the LPG container, as necessary. On cold days the LPG container may have to be kept at least half full to provide the rate of vaporization necessary to keep up with the genset fuel demand. Open any closed fuel valves. Secure the spark plug lead on the spark plug. Replace the spark plug. Service the air cleaner.,reprogram or replace ECU. Contact Deutz service.,,
Generac,Various,12,Overvoltage Fault (Controller unable to maintain rated voltage).,See an authorized Onan dealer.,overheating,,,,
Generac,Various,13,Undervoltage Fault (Controller unable to maintain rated voltage).,Reduce the number of connected appliances,injectors,,,,
Generac,Various,14,Overfrequency Fault (Engine governor unable to maintain rated frequency).,See an authorized Onan dealer.,stopping the unit immediately.,,,,
Cummins Onan,Various,15,Underfrequency Fault (Engine governor unable to maintain rated frequency).,Reduce the number of connected appliances,from a remote control or safety system) has been activated,,,,
Cummins Onan,Various,27,Voltage Sense Fault (Controller unable to sense output voltage).,See an authorized Onan dealer.,triggering a shutdown.,,,,
Cummins Onan,Various,29,High Battery Voltage Fault (Voltage across battery system greater than 19 volts).,Check battery bank connections and reconnect if necessary so that the 12 volt batteries serving the genset are connected in parallel (12 volt) rather than in series (24 volt). Select a lower battery boost charge rate.,causing a shutdown.,,,,
Cummins Onan,Various,32,Low Cranking Speed Fault (Cranking speed less than 180 rpm for more than 2 seconds).,Clean and tighten the positive (+) and negative (-) battery cable connections at the battery and at the genset. Recharge or replace the battery.  to the battery manufacturer’s recommendations. Replace engine oil with oil of proper viscosity for ambient temperatures (High oil viscosity can slow down cranking speed).,Check the fuel level in the daily tank; refill with clean, recommended fuel (e.g., diesel). Inspect the fuel lines and tank for leaks. Verify the fuel level sensor and wiring for proper operation (e.g., no shorts or opens). Clean or replace the sensor if necessary. Ensure the fuel supply system is functioning correctly. Reset the alarm on the control panel.  to the SDMO  if the alarm recurs.,
Cummins Onan,Various,35,Control Card Failure Fault (Microprocessor EEPROM error during self-test).,See an authorized Onan dealer.,triggering a shutdown.,,,,
Cummins Onan,Various,36,Engine Stopped Fault (Engine stopped without command by controller).,Gasoline Models - Check and fill the fuel tank, as necessary. (Note: The genset fuel pickup tube is probably higher up in the fuel tank than the vehicle engine pickup.) LPG Models - Check and fill the LPG container, as necessary. On cold days the LPG container may have to be kept at least half full to provide the rate of vaporization necessary to keep up with the genset fuel demand. Secure the spark plug lead on the spark plug. Replace the spark plug. Service the air cleaner. Check for mechanical damage.,causing a shutdown.,,
Cummins Onan,Various,37,Invalid Genset Configuration Fault (Genset configuration is preprogrammed at the factory).,See an authorized Onan dealer.,Reduce the electrical load by disconnecting non-essential appliances. Inspect the alternator output wiring for shorts or loose connections. Check the load distribution and ensure it is within the generator’s rated capacity. Test the alternator for internal faults (e.g., damaged windings). Reset the alarm on the control panel. If the alarm persists, consult the SDMO  or a technician.,,
Cummins Onan,Various,38,Overcurrent Fault (Low power factor loads).,Reduce the number of appliances running at the same time, especially those with high motor starting loads such as air conditioners. Have air conditioners and other appliances checked for proper operation. (A locked compressor rotor, for example, could cause very high starting currents.),causing a shutdown.,
Cummins Onan,Various,AC Sens Loss,AC sensing lost,Check wiring and connections. Contact an authorized distributor/dealer for service if necessary,triggering a shutdown.,,,,
Cummins Onan,Various,Accy PwrOver,Accessory Power Overload,Check wiring and connections. Contact an authorized distributor/dealer for service if necessary,indicating potential charging or battery issues.,,,,
Cummins Onan,10RESV and 12RESV,Alt Protect,Alternator Protection. High generator current has been detected. The generator set shuts down to protect the alternator from damage caused by overheating the windings.,Reduce the load,preventing proper operation and triggering a shutdown.,,,,
Cummins Onan,Various,ATS ComError,ATS communication error,Check communication wiring between transfer switch interface board and generator set,indicating overcharging.,,,,
Cummins Onan,Various,ATS PhaseRot,ATS phase rotation mismatch,Correct the ATS connection.  to the ATS Installation ,risking damage and triggering a shutdown.,,,,
Cummins Onan,Various,Aux Input,Auxiliary input,Check customer-supplied equipment,Verify the presence of the lithium battery in the control panel. Check battery connections for looseness or corrosion; secure or clean as needed. Test the battery voltage; replace if faulty or missing. Inspect wiring to the battery for breaks or shorts. Reset the alarm. Consult the SDMO  or a technician if the alarm persists.,,,,
Cummins Onan,Various,Batt Chg Flt,Battery charger fault,Check external battery charger,Check the fuel level and ensure the fuel supply is open; prime the system if needed. Inspect the battery voltage (ensure above 12.4V for 12V systems) and charge or replace if low. Verify the starter motor and solenoid for proper operation; check wiring for faults. Inspect the fuel system for air or blockages. Reset the fault and attempt to start. Consult the SDMO  or a technician if unresolved.,,,,
Cummins Onan,Various,Battery High,Engine starting battery voltage high,Check the battery rating and condition. Check the battery charger operation,Check the electrical load; reduce if exceeding the generator’s capacity. Inspect alternator output cables and connections for looseness or damage. Test the alternator voltage regulator for proper operation. Verify the alternator belt tension and condition. Reset the alarm.  to the SDMO  or contact a technician if the issue persists.,,,,
Cummins Onan,Various,Battery Low,Engine starting battery voltage low,Check the battery rating and condition. Check the battery charger operation. Charge or replace the battery,triggering a shutdown.,,,,
Cummins Onan,Various,Battery CrLo,Engine starting battery voltage critically low,Check the battery rating and condition. Check the battery charger operation. Charge or replace the battery,Check the electrical load for irregularities causing voltage spikes. Inspect the alternator voltage regulator for faults. Verify alternator output cables for shorts to power. Test the alternator for internal issues (e.g., faulty windings). Reset the alarm.  to the SDMO  or a technician if the issue persists.,,,
Cummins Onan,Various,Eng Speed High,Engine speed high,Contact an authorized distributor/dealer,triggering a shutdown.,,,,
Cummins Onan,14RES/RESL and 20RES/RESL,AC,Loss of AC sensing,Check for loose connections. Check all AC leads connected to the controller for continuity. Wiring Diagrams. Alternator excitation failure: Inspect the brushes and check the FN and FP connections. Voltage Regulator failure: check for voltage on the output leads. Section 7, Wiring Diagrams.,below 47 Hz for a 50 Hz system).,,,
Cummins Onan,14RES/RESL and 20RES/RESL,AF,Auxiliary fault input,Check customer-supplied equipment.,triggering a shutdown.,,,,
Cummins Onan,14RES/RESL and 20RES/RESL,ATS,ATS communication error,Check connection to Model RRT transfer switch interface board. Section 4.9.6, Section 7, Wiring Diagrams, Section 4.8.3. To clear the fault, disconnect and then reconnect battery power to the controller.,above 53 Hz for a 50 Hz system).
Cummins Onan,14RES/RESL and 20RES/RESL,ESch,Exercise not scheduled,Press OFF to clear the warning. Set the exerciser at the RDC controller or at the transfer switch, if the Model RRT transfer switch is not used. NOTE: Exercise the generator set weekly. Section 4.6.,triggering a shutdown.,,,
Cummins Onan,14RES/RESL and 20RES/RESL,Hb,High battery voltage,Check the battery rating and condition. Battery mfr’s instructions. Check the battery charger operation. O/M.,Inspect the CAN bus wiring and connectors for the option 3 module for shorts, opens, or loose connections. Verify the module is properly installed and powered. Reset the control panel and check communication. If the fault persists, replace the module or consult the SDMO  or a technician.,
Cummins Onan,14RES/RESL and 20RES/RESL,HE,High engine temperature,Check for blocked air inlets and exhaust outlets. 1.7.,Check the CAN bus wiring and connectors for the option 4 module for shorts, opens, or loose connections. Ensure the module is correctly installed and powered. Reset the control panel and verify communication. If unresolved, replace the module or  to the SDMO  or a technician.,
Cummins Onan,14RES/RESL and 20RES/RESL,Lb,Low battery voltage,Check the battery rating and condition. Check the battery charger operation. Charge or replace the battery. Battery mfr’s instructions. O/M.,Inspect the CAN bus wiring and connectors for the option 5 module for shorts, opens, or loose connections. Confirm the module is properly installed and powered. Reset the control panel and check communication. If the fault persists, replace the module or consult the SDMO  or a technician.,
Kohler,14RES/RESL and 20RES/RESL,LCb,Low cranking voltage,Charge or replace the battery.,Check the CAN bus wiring and connectors for the option 6 module for shorts, opens, or loose connections. Verify the module is correctly installed and powered. Reset the control panel and test communication. If unresolved, replace the module or  to the SDMO  or a technician.,
Kohler,14RES/RESL and 20RES/RESL,LOP,Low oil pressure,Check the engine oil level regularly as recommended in the O/M. Check for leaks in the lubrication system. Check the oil level and add oil if the level is low. Check low oil pressure switch connections and operation. Check the oil pump and lubrication system. O/M 5.10 Engine S/M.,Inspect the RS485 communication cables and connectors for shorts, opens, or loose connections. Verify the spare module is powered and correctly configured. Reset the control panel and test communication. If the fault persists, consult the SDMO  or a technician.,
Kohler,14RES/RESL and 20RES/RESL,Lr,Locked rotor,Check mag pickup connections and operation. Check for a locked rotor. 5.9.4, 5.4.,Power cycle the generator by disconnecting the battery for 30 seconds and reconnecting. Check for software updates for the control panel. Inspect control panel wiring for faults. If the fault persists, the control module may need replacement. Consult the SDMO  or a technician.,,
Kohler,14RES/RESL and 20RES/RESL,P1-9 and P1-10 (Temperature Sensor - CTS),Checks the resistance of the coolant temperature sensor,indicating engine temperature.,Verify the normal power contactor (system side) is functioning and not stuck open. Inspect contactor wiring and control signals for faults. Check the automatic transfer switch (ATS) settings. Reset the alarm and test operation.  to the SDMO  or contact a technician if unresolved.,,,,
Kohler,14RES/RESL and 20RES/RESL,Lead 13 and Ground (Low Oil Pressure - LOP Switch),Checks continuity of the low oil pressure switch,indicating oil pressure status.,Check the emergency power contactor (generator side) for proper operation; ensure it is not stuck open. Inspect contactor wiring and control signals for faults. Verify ATS configuration. Reset the alarm and test operation. Consult the SDMO  or a technician if the issue persists.,,,,
Kohler,14RES/RESL and 20RES/RESL,QCON1 and QCON2 (Magnetic Pickup),Checks resistance of the magnetic pickup,used for engine speed sensing.,triggering a shutdown.,,,,
Kohler,C13/C15/C18,486-3,Engine Fan Reverse Switch: Voltage Above Normal,Check wiring and connections for shorts to power. Inspect fan reverse switch. Replace if faulty.,causing a shutdown.,,,,
Kohler,C13/C15/C18,486-4,Engine Fan Reverse Switch: Voltage Below Normal,Check for open circuits or poor connections. Inspect fan reverse switch. Replace if faulty.,preventing optimal engine starting conditions.,,,,
Kohler,C13/C15/C18,544-2,Engine Cooling Fan Speed Sensor: Erratic,Intermittent,preventing engine start and triggering a shutdown.,,,,
Kohler,C13/C15/C18,544-8,Engine Cooling Fan Speed Sensor: Abnormal Frequency,Pulse Width,indicating a potential fault.,,,,
Kohler,C13/C15/C18,1076-5,Engine Cooling Fan Bypass Solenoid: Current Below Normal,Check solenoid wiring for open circuits. Test solenoid. Replace if necessary.,triggering a shutdown.,,,,
Kohler,C13/C15/C18,1076-6,Engine Cooling Fan Bypass Solenoid: Current Above Normal,Check for shorts to ground. Inspect solenoid. Replace if faulty.,Inspect the generator’s electrical output cables and connections for insulation breakdown or damage. Test the insulation resistance using a megger. Check the insulation monitor wiring and settings. Reset the alarm and test operation.  to the SDMO  or a technician if the alarm persists.,,,,
Kohler,C13/C15/C18,1937-2,Engine Coolant Flow Switch: Erratic,Intermittent,triggering a shutdown.,,,,
Kohler,C13/C15/C18,774-2,Accelerator Pedal Position 2: Erratic,Intermittent,Inspect the differential relay wiring and connections for shorts, opens, or loose terminals. Test the relay for proper operation; replace if faulty. Verify the relay settings match the generator specifications. Reset the fault and test operation.  to the SDMO  or a technician if unresolved.,,
Kohler,C13/C15/C18,774-3,Accelerator Pedal Position 2: Voltage Above Normal,Check for shorts to power. Inspect sensor. Replace if necessary.,Check the insulation monitor wiring and connections for shorts, opens, or loose terminals. Test the monitor for proper operation; replace if faulty. Verify the monitor settings are correct. Reset the fault and test operation. Consult the SDMO  or a technician if unresolved.,,
Kohler,C13/C15/C18,774-4,Accelerator Pedal Position 2: Voltage Below Normal,Check for open circuits. Inspect sensor. Replace if necessary.,indicating a warning.,,,,
Kohler,C13/C15/C18,774-8,Accelerator Pedal Position 2: Abnormal Frequency,Pulse Width,preventing charging and triggering a shutdown.,,,,
Kohler,C13/C15/C18,91-2,Accelerator Pedal Position 1: Erratic,Intermittent,indicating a failure or overload.,,,,
Kohler,C13/C15/C18,91-3,Accelerator Pedal Position 1: Voltage Above Normal,Check for shorts to power. Inspect sensor. Replace if necessary.,triggering a shutdown.,,,,
Kohler,C13/C15/C18,91-4,Accelerator Pedal Position 1: Voltage Below Normal,Check for open circuits. Inspect sensor. Replace if necessary.,Locate and release the emergency stop button on the APM303 panel by twisting or pulling as per design. Check for safety conditions that triggered the activation. Inspect the button’s wiring for faults. Reset the fault on the control panel and attempt to restart. If the fault persists, consult the SDMO APM303  or a technician.,,,
Kohler,C13/C15/C18,91-8,Accelerator Pedal Position 1: Abnormal Frequency,Pulse Width,Check the fuel level in the daily tank; refill with clean diesel fuel. Inspect for fuel leaks in the tank or lines. Test the fuel level sensor and wiring for faults (e.g., shorts, opens). Replace the sensor if faulty. Prime the fuel system if needed. Reset the fault and restart.  to the APM303  or a technician if unresolved.,,
Kohler,C13/C15/C18,97-3,Water In Fuel Indicator: Voltage Above Normal,Check wiring for shorts to power. Inspect switch. Replace if necessary.,Check the engine oil level; top up with the recommended oil if low. Inspect for oil leaks. Test the oil pressure sensor and wiring for faults; replace if defective. Perform an oil pressure test to check for internal engine issues (e.g., worn pump). Reset the fault and restart. Consult the APM303  or a technician if unresolved.,,,
Kohler,C13/C15/C18,100-3,Engine Oil Pressure: Voltage Above Normal,Check sensor wiring for shorts. Inspect oil pressure sensor. Replace if faulty.,Check the coolant level; top up if low. Inspect the cooling system for leaks or blockages. Ensure the radiator is clean and vents are clear. Test the coolant temperature sensor and wiring; replace if faulty. Verify thermostat operation. Reset the fault and restart. Consult the APM303  or a technician if unresolved.,,,,
Kohler,C13/C15/C18,100-4,Engine Oil Pressure: Voltage Below Normal,Check for open circuits. Inspect sensor. Replace if necessary.,Verify the engine speed is within nominal limits (e.g., 1500 RPM for 50 Hz). Inspect the governor or throttle for miscalibration or faults. Check the fuel system for over-fueling issues. Test the speed sensor and wiring; replace if faulty. Reset the fault and restart.  to the APM303  or a technician if unresolved.,,,
Caterpillar,C13/C15/C18,101-3,Engine Crankcase Pressure: Voltage Above Normal,Check sensor wiring for shorts. Inspect crankcase pressure sensor. Replace if faulty.,Inspect the alternator voltage regulator for faults causing overvoltage. Check alternator output cables for shorts to power. Test the alternator for internal faults (e.g., damaged windings). Reduce the electrical load if excessive. Reset the fault and restart. Consult the APM303  or a technician if unresolved.,,,
Caterpillar,C13/C15/C18,101-4,Engine Crankcase Pressure: Voltage Below Normal,Check for open circuits. Inspect sensor. Replace if necessary.,Reduce the electrical load if exceeding the generator’s capacity. Inspect alternator output cables for loose or damaged connections. Test the alternator voltage regulator and excitation circuit; repair or replace if faulty. Check the alternator belt for slip. Reset the fault and restart.  to the APM303  or a technician if unresolved.,,,,
Caterpillar,C13/C15/C18,101-13,Engine Crankcase Pressure: Calibration Required,Perform calibration of crankcase pressure sensor as per manufacturer procedure.,Verify the engine speed does not exceed nominal RPM (e.g., 1500 RPM for 50 Hz). Inspect the governor or throttle for faults. Check the fuel system for over-fueling. Test the frequency sensor and wiring; replace if faulty. Reset the fault and restart. Consult the APM303  or a technician if unresolved.,,,
Caterpillar,C13/C15/C18,108-3,Barometric Pressure: Voltage Above Normal,Check sensor wiring for shorts. Inspect atmospheric pressure sensor. Replace if faulty.,Check the engine speed; ensure it meets nominal RPM (e.g., 1500 RPM for 50 Hz). Inspect the fuel system for restrictions or air. Verify the governor or throttle operation. Test the frequency sensor and wiring; replace if faulty. Reduce the load if excessive. Reset the fault and restart.  to the APM303  or a technician if unresolved.,,,
Caterpillar,C13/C15/C18,108-4,Barometric Pressure: Voltage Below Normal,Check for open circuits. Inspect sensor. Replace if necessary.,Immediately disconnect non-essential loads. Inspect alternator output cables for shorts or damage. Test the alternator for internal short circuits (e.g., damaged windings). Verify load connections for faulty appliances. Reset the fault and restart. Consult the APM303  or a technician if unresolved.,,,
Caterpillar,C13/C15/C18,108-21,Barometric Pressure: Calibration Required,Perform calibration of atmospheric pressure sensor as per manufacturer procedure.,triggering a warning or shutdown.,,,,
Caterpillar,C13/C15/C18,109-3,Engine Coolant Pressure: Voltage Above Normal,Check sensor wiring for shorts. Inspect coolant pressure sensor. Replace if faulty.,Measure battery voltage; charge if below 12.4V or replace if faulty. Inspect battery cables for corrosion or loose connections; clean or tighten. Test the charging alternator for proper output (13.5–14.5V for 12V systems); repair or replace if faulty. Reset the fault and restart.  to the APM303  or a technician if unresolved.,,,,
Caterpillar,C13/C15/C18,109-4,Engine Coolant Pressure: Voltage Below Normal,Check for open circuits. Inspect sensor. Replace if necessary.,triggering a shutdown.,,,,
Caterpillar,C13/C15/C18,110-3,Engine Coolant Temperature: Voltage Above Normal,Check sensor wiring for shorts. Inspect coolant temperature sensor. Replace if faulty.,indicating a potential electrical issue.,,,,
Caterpillar,C13/C15/C18,110-4,Engine Coolant Temperature: Voltage Below Normal,Check for open circuits. Inspect sensor. Replace if necessary.,triggering a shutdown.,,,,
Caterpillar,C13/C15/C18,157-3,Engine Injector Metering Rail #1 Pressure: Voltage Above Normal,Check sensor wiring for shorts. Inspect fuel rail pressure sensor. Replace if faulty.,triggering a warning.,,,,
Caterpillar,C13/C15/C18,157-4,Engine Injector Metering Rail #1 Pressure: Voltage Below Normal,Check for open circuits. Inspect sensor. Replace if necessary.,preventing fuel delivery and triggering a shutdown.,,,,
Caterpillar,C13/C15/C18,168-3,Battery Potential / Power,Not provided in source. Consult Caterpillar  for troubleshooting.,reducing engine performance.,,,,
Caterpillar,EMCP 3 Series,190,Emergency Stop Active - Status,Ensure Emergency Stop input is wired correctly. Check grounding. Verify active state (High/Low). Reset event if needed. Use Caterpillar Service Tool or display menu.,causing engine performance issues and triggering a shutdown.,,,,
